Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),World production
1900,1,1,12,31,1/1/1900,12/31/1900,1900-01-02,1900-12-31,5400
1901,1,1,12,31,1/1/1901,12/31/1901,1901-01-01,1901-12-31,5380
1902,1,1,12,31,1/1/1902,12/31/1902,1902-01-01,1902-12-31,5060
1903,1,1,12,31,1/1/1903,12/31/1903,1903-01-01,1903-12-31,5220
1904,1,1,12,31,1/1/1904,12/31/1904,1904-01-01,1904-12-30,5110
1905,1,1,12,31,1/1/1905,12/31/1905,1905-01-02,1905-12-29,5360
1906,1,1,12,31,1/1/1906,12/31/1906,1906-01-01,1906-12-31,5130
1907,1,1,12,31,1/1/1907,12/31/1907,1907-01-01,1907-12-31,5730
1908,1,1,12,31,1/1/1908,12/31/1908,1908-01-01,1908-12-31,6320
1909,1,1,12,31,1/1/1909,12/31/1909,1909-01-01,1909-12-31,6600
1910,1,1,12,31,1/1/1910,12/31/1910,1910-01-03,1910-12-30,6900
1911,1,1,12,31,1/1/1911,12/31/1911,1911-01-02,1911-12-29,7040
1912,1,1,12,31,1/1/1912,12/31/1912,1912-01-01,1912-12-31,6980
1913,1,1,12,31,1/1/1913,12/31/1913,1913-01-01,1913-12-31,7010
1914,1,1,12,31,1/1/1914,12/31/1914,1914-01-01,1914-12-31,5240
1915,1,1,12,31,1/1/1915,12/31/1915,1915-01-01,1915-12-31,5730
1916,1,1,12,31,1/1/1916,12/31/1916,1916-01-03,1916-12-29,5250
1917,1,1,12,31,1/1/1917,12/31/1917,1917-01-01,1917-12-31,5420
1918,1,1,12,31,1/1/1918,12/31/1918,1918-01-01,1918-12-31,6140
1919,1,1,12,31,1/1/1919,12/31/1919,1919-01-01,1919-12-31,5490
1920,1,1,12,31,1/1/1920,12/31/1920,1920-01-01,1920-12-31,5390
1921,1,1,12,31,1/1/1921,12/31/1921,1921-01-03,1921-12-30,5330
1922,1,1,12,31,1/1/1922,12/31/1922,1922-01-02,1922-12-29,6530
1923,1,1,12,31,1/1/1923,12/31/1923,1923-01-01,1923-12-31,7650
1924,1,1,12,31,1/1/1924,12/31/1924,1924-01-01,1924-12-31,7450
1925,1,1,12,31,1/1/1925,12/31/1925,1925-01-01,1925-12-31,7650
1926,1,1,12,31,1/1/1926,12/31/1926,1926-01-01,1926-12-31,7890
1927,1,1,12,31,1/1/1927,12/31/1927,1927-01-03,1927-12-30,7900
1928,1,1,12,31,1/1/1928,12/31/1928,1928-01-02,1928-12-31,8020
1929,1,1,12,31,1/1/1929,12/31/1929,1929-01-01,1929-12-31,8120
1930,1,1,12,31,1/1/1930,12/31/1930,1930-01-01,1930-12-31,7740
1931,1,1,12,31,1/1/1931,12/31/1931,1931-01-01,1931-12-31,6080
1932,1,1,12,31,1/1/1932,12/31/1932,1932-01-01,1932-12-30,5130
1933,1,1,12,31,1/1/1933,12/31/1933,1933-01-02,1933-12-29,5340
1934,1,1,12,31,1/1/1934,12/31/1934,1934-01-01,1934-12-31,5990
1935,1,1,12,31,1/1/1935,12/31/1935,1935-01-01,1935-12-31,6890
1936,1,1,12,31,1/1/1936,12/31/1936,1936-01-01,1936-12-31,7920
1937,1,1,12,31,1/1/1937,12/31/1937,1937-01-01,1937-12-31,8640
1938,1,1,12,31,1/1/1938,12/31/1938,1938-01-03,1938-12-30,8320
1939,1,1,12,31,1/1/1939,12/31/1939,1939-01-02,1939-12-29,8300
1940,1,1,12,31,1/1/1940,12/31/1940,1940-01-01,1940-12-31,8570
1941,1,1,12,31,1/1/1941,12/31/1941,1941-01-01,1941-12-31,8140
1942,1,1,12,31,1/1/1942,12/31/1942,1942-01-01,1942-12-31,7780
1943,1,1,12,31,1/1/1943,12/31/1943,1943-01-01,1943-12-31,6380
1944,1,1,12,31,1/1/1944,12/31/1944,1944-01-03,1944-12-29,5740
1945,1,1,12,31,1/1/1945,12/31/1945,1945-01-01,1945-12-31,5040
1946,1,1,12,31,1/1/1946,12/31/1946,1946-01-01,1946-12-31,3970
1947,1,1,12,31,1/1/1947,12/31/1947,1947-01-01,1947-12-31,5220
1948,1,1,12,31,1/1/1948,12/31/1948,1948-01-01,1948-12-31,5440
1949,1,1,12,31,1/1/1949,12/31/1949,1949-01-03,1949-12-30,5570
1950,1,1,12,31,1/1/1950,12/31/1950,1950-01-02,1950-12-29,6320
1951,1,1,12,31,1/1/1951,12/31/1951,1951-01-01,1951-12-31,6210
1952,1,1,12,31,1/1/1952,12/31/1952,1952-01-01,1952-12-31,6700
1953,1,1,12,31,1/1/1953,12/31/1953,1953-01-01,1953-12-31,6900
1954,1,1,12,31,1/1/1954,12/31/1954,1954-01-01,1954-12-31,6670
1955,1,1,12,31,1/1/1955,12/31/1955,1955-01-03,1955-12-30,7000
1956,1,1,12,31,1/1/1956,12/31/1956,1956-01-02,1956-12-31,7020
1957,1,1,12,31,1/1/1957,12/31/1957,1957-01-01,1957-12-31,7190
1958,1,1,12,31,1/1/1958,12/31/1958,1958-01-01,1958-12-31,7430
1959,1,1,12,31,1/1/1959,12/31/1959,1959-01-01,1959-12-31,6910
1960,1,1,12,31,1/1/1960,12/31/1960,1960-01-01,1960-12-30,7320
1961,1,1,12,31,1/1/1961,12/31/1961,1961-01-02,1961-12-29,7370
1962,1,1,12,31,1/1/1962,12/31/1962,1962-01-01,1962-12-31,7650
1963,1,1,12,31,1/1/1963,12/31/1963,1963-01-01,1963-12-31,7780
1964,1,1,12,31,1/1/1964,12/31/1964,1964-01-01,1964-12-31,7730
1965,1,1,12,31,1/1/1965,12/31/1965,1965-01-01,1965-12-31,8010
1966,1,1,12,31,1/1/1966,12/31/1966,1966-01-03,1966-12-30,8300
1967,1,1,12,31,1/1/1967,12/31/1967,1967-01-02,1967-12-29,8030
1968,1,1,12,31,1/1/1968,12/31/1968,1968-01-01,1968-12-31,8560
1969,1,1,12,31,1/1/1969,12/31/1969,1969-01-01,1969-12-31,9200
1970,1,1,12,31,1/1/1970,12/31/1970,1970-01-01,1970-12-31,9360
1971,1,1,12,31,1/1/1971,12/31/1971,1971-01-01,1971-12-31,9170
1972,1,1,12,31,1/1/1972,12/31/1972,1972-01-03,1972-12-29,9380
1973,1,1,12,31,1/1/1973,12/31/1973,1973-01-01,1973-12-31,9700
1974,1,1,12,31,1/1/1974,12/31/1974,1974-01-01,1974-12-31,9260
1975,1,1,12,31,1/1/1975,12/31/1975,1975-01-01,1975-12-31,9430
1976,1,1,12,31,1/1/1976,12/31/1976,1976-01-01,1976-12-31,9840
1977,1,1,12,31,1/1/1977,12/31/1977,1977-01-03,1977-12-30,10300
1978,1,1,12,31,1/1/1978,12/31/1978,1978-01-02,1978-12-29,10700
1979,1,1,12,31,1/1/1979,12/31/1979,1979-01-01,1979-12-31,10800
1980,1,1,12,31,1/1/1980,12/31/1980,1980-01-01,1980-12-31,10700
1981,1,1,12,31,1/1/1981,12/31/1981,1981-01-01,1981-12-31,11200
1982,1,1,12,31,1/1/1982,12/31/1982,1982-01-01,1982-12-31,11500
1983,1,1,12,31,1/1/1983,12/31/1983,1983-01-03,1983-12-30,12100
1984,1,1,12,31,1/1/1984,12/31/1984,1984-01-02,1984-12-31,13100
1985,1,1,12,31,1/1/1985,12/31/1985,1985-01-01,1985-12-31,13100
1986,1,1,12,31,1/1/1986,12/31/1986,1986-01-01,1986-12-31,13000
1987,1,1,12,31,1/1/1987,12/31/1987,1987-01-01,1987-12-31,14000
1988,1,1,12,31,1/1/1988,12/31/1988,1988-01-01,1988-12-30,15500
1989,1,1,12,31,1/1/1989,12/31/1989,1989-01-02,1989-12-29,16400
1990,1,1,12,31,1/1/1990,12/31/1990,1990-01-01,1990-12-31,16600
1991,1,1,12,31,1/1/1991,12/31/1991,1991-01-01,1991-12-31,15600
1992,1,1,12,31,1/1/1992,12/31/1992,1992-01-01,1992-12-31,14900
1993,1,1,12,31,1/1/1993,12/31/1993,1993-01-01,1993-12-31,14100
1994,1,1,12,31,1/1/1994,12/31/1994,1994-01-03,1994-12-30,14000
1995,1,1,12,31,1/1/1995,12/31/1995,1995-01-02,1995-12-29,14900
1996,1,1,12,31,1/1/1996,12/31/1996,1996-01-01,1996-12-31,15100
1997,1,1,12,31,1/1/1997,12/31/1997,1997-01-01,1997-12-31,16500
1998,1,1,12,31,1/1/1998,12/31/1998,1998-01-01,1998-12-31,17200
1999,1,1,12,31,1/1/1999,12/31/1999,1999-01-01,1999-12-31,17600
2000,1,1,12,31,1/1/2000,12/31/2000,2000-01-03,2000-12-29,18100
2001,1,1,12,31,1/1/2001,12/31/2001,2001-01-01,2001-12-31,18700
2002,1,1,12,31,1/1/2002,12/31/2002,2002-01-01,2002-12-31,18800
2003,1,1,12,31,1/1/2003,12/31/2003,2003-01-01,2003-12-31,18800
2004,1,1,12,31,1/1/2004,12/31/2004,2004-01-01,2004-12-31,20000
2005,1,1,12,31,1/1/2005,12/31/2005,2005-01-03,2005-12-30,20800
2006,1,1,12,31,1/1/2006,12/31/2006,2006-01-02,2006-12-29,20100
2007,1,1,12,31,1/1/2007,12/31/2007,2007-01-01,2007-12-31,20800
2008,1,1,12,31,1/1/2008,12/31/2008,2008-01-01,2008-12-31,21300
2009,1,1,12,31,1/1/2009,12/31/2009,2009-01-01,2009-12-31,22300
2010,1,1,12,31,1/1/2010,12/31/2010,2010-01-01,2010-12-31,23300
2011,1,1,12,31,1/1/2011,12/31/2011,2011-01-03,2011-12-30,23300
2012,1,1,12,31,1/1/2012,12/31/2012,2012-01-02,2012-12-31,24300
2013,1,1,12,31,1/1/2013,12/31/2013,2013-01-01,2013-12-31,25700
2014,1,1,12,31,1/1/2014,12/31/2014,2014-01-01,2014-12-31,26800
2015,1,1,12,31,1/1/2015,12/31/2015,2015-01-01,2015-12-31,25100
2016,1,1,12,31,1/1/2016,12/31/2016,2016-01-01,2016-12-30,25700
2017,1,1,12,31,1/1/2017,12/31/2017,2017-01-02,2017-12-29,26800
2018,1,1,12,31,1/1/2018,12/31/2018,2018-01-01,2018-12-31,26900
2019,1,1,12,31,1/1/2019,12/31/2019,2019-01-01,2019-12-31,27000
