Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Unit,Silver Supply,Silver Demand,Silver Supply (Millions Ounces),Silver Demand (Millions Ounces)
1950,1,1,12,31,1/1/1950,12/31/1950,1950-01-02,1950-12-29,Millions Troy Ounces,169.5,202.9,186.0,222.6
1951,1,1,12,31,1/1/1951,12/31/1951,1951-01-01,1951-12-31,Millions Troy Ounces,165.5,255.1,181.6,279.9
1952,1,1,12,31,1/1/1952,12/31/1952,1952-01-01,1952-12-31,Millions Troy Ounces,180.6,256.4,198.1,281.3
1953,1,1,12,31,1/1/1953,12/31/1953,1953-01-01,1953-12-31,Millions Troy Ounces,184.7,259.1,202.6,284.3
1954,1,1,12,31,1/1/1954,12/31/1954,1954-01-01,1954-12-31,Millions Troy Ounces,178.6,244.2,195.9,267.9
1955,1,1,12,31,1/1/1955,12/31/1955,1955-01-03,1955-12-30,Millions Troy Ounces,198.0,245.4,217.2,269.2
1956,1,1,12,31,1/1/1956,12/31/1956,1956-01-02,1956-12-31,Millions Troy Ounces,224.0,274.7,245.8,301.4
1957,1,1,12,31,1/1/1957,12/31/1957,1957-01-01,1957-12-31,Millions Troy Ounces,223.4,299.0,245.1,328
1958,1,1,12,31,1/1/1958,12/31/1958,1958-01-01,1958-12-31,Millions Troy Ounces,220.6,272.5,242.0,299
1959,1,1,12,31,1/1/1959,12/31/1959,1959-01-01,1959-12-31,Millions Troy Ounces,271.0,302.4,297.3,331.8
1960,1,1,12,31,1/1/1960,12/31/1960,1960-01-01,1960-12-30,Millions Troy Ounces,343.8,341.7,377.2,374.9
1961,1,1,12,31,1/1/1961,12/31/1961,1961-01-02,1961-12-29,Millions Troy Ounces,449.9,405.6,493.6,445
1962,1,1,12,31,1/1/1962,12/31/1962,1962-01-01,1962-12-31,Millions Troy Ounces,386.8,403.1,424.4,442.3
1963,1,1,12,31,1/1/1963,12/31/1963,1963-01-01,1963-12-31,Millions Troy Ounces,429.0,445.3,470.7,488.6
1964,1,1,12,31,1/1/1964,12/31/1964,1964-01-01,1964-12-31,Millions Troy Ounces,671.5,585.3,736.7,642.2
1965,1,1,12,31,1/1/1965,12/31/1965,1965-01-01,1965-12-31,Millions Troy Ounces,747.4,743.6,820.0,815.8
1966,1,1,12,31,1/1/1966,12/31/1966,1966-01-03,1966-12-30,Millions Troy Ounces,547.2,546.6,600.4,599.7
1967,1,1,12,31,1/1/1967,12/31/1967,1967-01-02,1967-12-29,Millions Troy Ounces,592.7,507.2,650.3,556.5
1968,1,1,12,31,1/1/1968,12/31/1968,1968-01-01,1968-12-31,Millions Troy Ounces,689.2,463.2,756.1,508.2
1969,1,1,12,31,1/1/1969,12/31/1969,1969-01-01,1969-12-31,Millions Troy Ounces,541.7,419.0,594.3,459.7
1970,1,1,12,31,1/1/1970,12/31/1970,1970-01-01,1970-12-31,Millions Troy Ounces,476.5,399.4,522.8,438.2
1971,1,1,12,31,1/1/1971,12/31/1971,1971-01-01,1971-12-31,Millions Troy Ounces,383.3,417.3,420.5,457.8
1972,1,1,12,31,1/1/1972,12/31/1972,1972-01-03,1972-12-29,Millions Troy Ounces,374.9,469.5,411.3,515.1
1973,1,1,12,31,1/1/1973,12/31/1973,1973-01-01,1973-12-31,Millions Troy Ounces,423.0,551.0,464.1,604.5
1974,1,1,12,31,1/1/1974,12/31/1974,1974-01-01,1974-12-31,Millions Troy Ounces,450.6,501.6,494.4,550.3
1975,1,1,12,31,1/1/1975,12/31/1975,1975-01-01,1975-12-31,Millions Troy Ounces,437.0,441.1,479.5,483.9
1976,1,1,12,31,1/1/1976,12/31/1976,1976-01-01,1976-12-31,Millions Troy Ounces,496.9,514.7,545.2,564.7
1977,1,1,12,31,1/1/1977,12/31/1977,1977-01-03,1977-12-30,Millions Troy Ounces,445.3,494.4,488.6,542.4
1978,1,1,12,31,1/1/1978,12/31/1978,1978-01-02,1978-12-29,Millions Troy Ounces,434.8,491.9,477.0,539.7
1979,1,1,12,31,1/1/1979,12/31/1979,1979-01-01,1979-12-31,Millions Troy Ounces,505.0,479.2,554.1,525.7
1980,1,1,12,31,1/1/1980,12/31/1980,1980-01-01,1980-12-31,Millions Troy Ounces,586.5,379.3,643.5,416.1
1981,1,1,12,31,1/1/1981,12/31/1981,1981-01-01,1981-12-31,Millions Troy Ounces,479.2,364.9,525.7,400.3
1982,1,1,12,31,1/1/1982,12/31/1982,1982-01-01,1982-12-31,Millions Troy Ounces,454.0,373.4,498.1,409.7
1983,1,1,12,31,1/1/1983,12/31/1983,1983-01-03,1983-12-30,Millions Troy Ounces,529.1,366.7,580.5,402.3
1984,1,1,12,31,1/1/1984,12/31/1984,1984-01-02,1984-12-31,Millions Troy Ounces,476.1,389.9,522.3,427.8
1985,1,1,12,31,1/1/1985,12/31/1985,1985-01-01,1985-12-31,Millions Troy Ounces,482.8,400.9,529.7,439.8
1986,1,1,12,31,1/1/1986,12/31/1986,1986-01-01,1986-12-31,Millions Ounces,577.5,577.5,577.5,577.5
1987,1,1,12,31,1/1/1987,12/31/1987,1987-01-01,1987-12-31,Millions Ounces,610.1,610.1,610.1,610.1
1988,1,1,12,31,1/1/1988,12/31/1988,1988-01-01,1988-12-30,Millions Ounces,620.2,620.2,620.2,620.2
1989,1,1,12,31,1/1/1989,12/31/1989,1989-01-02,1989-12-29,Millions Ounces,630.5,630.5,630.5,630.5
1990,1,1,12,31,1/1/1990,12/31/1990,1990-01-01,1990-12-31,Millions Ounces,724.2,724.2,724.2,724.2
1991,1,1,12,31,1/1/1991,12/31/1991,1991-01-01,1991-12-31,Millions Ounces,714.9,714.9,714.9,714.9
1992,1,1,12,31,1/1/1992,12/31/1992,1992-01-01,1992-12-31,Millions Ounces,727.5,727.5,727.5,727.5
1993,1,1,12,31,1/1/1993,12/31/1993,1993-01-01,1993-12-31,Millions Ounces,771.6,771.6,771.6,771.6
1994,1,1,12,31,1/1/1994,12/31/1994,1994-01-03,1994-12-30,Millions Ounces,767.6,767.6,767.6,767.6
1995,1,1,12,31,1/1/1995,12/31/1995,1995-01-02,1995-12-29,Millions Ounces,768.6,768.6,768.6,768.6
1996,1,1,12,31,1/1/1996,12/31/1996,1996-01-01,1996-12-31,Millions Ounces,811.1,811.1,811.1,811.1
1997,1,1,12,31,1/1/1997,12/31/1997,1997-01-01,1997-12-31,Millions Ounces,836.3,836.3,836.3,836.3
1998,1,1,12,31,1/1/1998,12/31/1998,1998-01-01,1998-12-31,Millions Ounces,824.3,824.3,824.3,824.3
1999,1,1,12,31,1/1/1999,12/31/1999,1999-01-01,1999-12-31,Millions Ounces,880.4,880.4,880.4,880.4
2000,1,1,12,31,1/1/2000,12/31/2000,2000-01-03,2000-12-29,Millions Ounces,919.1,919.1,919.1,919.1
2001,1,1,12,31,1/1/2001,12/31/2001,2001-01-01,2001-12-31,Millions Ounces,877.1,877.1,877.1,877.1
2002,1,1,12,31,1/1/2002,12/31/2002,2002-01-01,2002-12-31,Millions Ounces,868.3,868.3,868.3,868.3
2003,1,1,12,31,1/1/2003,12/31/2003,2003-01-01,2003-12-31,Millions Ounces,889.8,889.8,889.8,889.8
2004,1,1,12,31,1/1/2004,12/31/2004,2004-01-01,2004-12-31,Millions Ounces,872.0,917.1,872.0,917.1
2005,1,1,12,31,1/1/2005,12/31/2005,2005-01-03,2005-12-30,Millions Ounces,955.1,946.5,955.1,946.5
2006,1,1,12,31,1/1/2006,12/31/2006,2006-01-02,2006-12-29,Millions Ounces,917.3,936.3,917.3,936.3
2007,1,1,12,31,1/1/2007,12/31/2007,2007-01-01,2007-12-31,Millions Ounces,889.8,950.2,889.8,950.2
2008,1,1,12,31,1/1/2008,12/31/2008,2008-01-01,2008-12-31,Millions Ounces,907.2,1075.8,907.2,1075.8
2009,1,1,12,31,1/1/2009,12/31/2009,2009-01-01,2009-12-31,Millions Ounces,916.1,837.8,916.1,837.8
2010,1,1,12,31,1/1/2010,12/31/2010,2010-01-01,2010-12-31,Millions Ounces,1074.8,1049.8,1074.8,1049.8
2011,1,1,12,31,1/1/2011,12/31/2011,2011-01-03,2011-12-30,Millions Ounces,1009.7,1045.4,1009.7,1045.4
2012,1,1,12,31,1/1/2012,12/31/2012,2012-01-02,2012-12-31,Millions Ounces,1012.4,983.5,1012.4,983.5
2013,1,1,12,31,1/1/2013,12/31/2013,2013-01-01,2013-12-31,Millions Ounces,1034.7,1068.9,1034.7,1068.9
2014,1,1,12,31,1/1/2014,12/31/2014,2014-01-01,2014-12-31,Millions Ounces,1064.2,1021.6,1064.2,1021.6
2015,1,1,12,31,1/1/2015,12/31/2015,2015-01-01,2015-12-31,Millions Ounces,1062.6,1067.0,1062.6,1067.0
2016,1,1,12,31,1/1/2016,12/31/2016,2016-01-01,2016-12-30,Millions Ounces,1057.8,995.5,1057.8,995.5
2017,1,1,12,31,1/1/2017,12/31/2017,2017-01-02,2017-12-29,Millions Ounces,1032.2,964.7,1032.2,964.7
2018,1,1,12,31,1/1/2018,12/31/2018,2018-01-01,2018-12-31,Millions Ounces,1016.8,988.3,1016.8,988.3
2019,1,1,12,31,1/1/2019,12/31/2019,2019-01-01,2019-12-31,Millions Ounces,1023.1,991.8,1023.1,991.8
